Modelo,T̩cnica de Balance,ROC,GINI
GLM,Sin Cambios,0.8065827432467874,0.6131654864935747
Boosting,Sin Cambios,0.9101663482072608,0.8203326964145217
DeepLearning,Sin Cambios,0.8969690157731071,0.7939380315462141
RandomForest,Sin Cambios,0.9103162114570454,0.8206324229140909
GLM,SMOTE,0.8020400134876925,0.604080026975385
Boosting,SMOTE,0.9097542242703534,0.8195084485407067
DeepLearning,SMOTE,0.9016335094226517,0.8032670188453035
RandomForest,SMOTE,0.9023547263122401,0.8047094526244802
GLM,OverSampling,0.8045127571091379,0.6090255142182759
Boosting,OverSampling,0.9104286088943839,0.8208572177887679
DeepLearning,OverSampling,0.9246468847176951,0.8492937694353901
RandomForest,OverSampling,0.9204319808175041,0.8408639616350082
GLM,UnderSampling,0.804147465437788,0.6082949308755761
Boosting,UnderSampling,0.9086396163500805,0.817279232700161
DeepLearning,UnderSampling,0.8867689483346446,0.7735378966692892
RandomForest,UnderSampling,0.8994417593945524,0.7988835187891048
